Seed,Date,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Ouaddai_percentage_error,Sila_observed,Sila_simulated,Sila_difference,Sila_percentage_error,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Wadi_Fira_percentage_error,MAE,RMSE,MAPE_percent,WAPE_percent
1026,2023-07-03,138653.0,156828.0,18175.0,13.108263074004888,47280.0,20993.0,-26287.0,55.59856175972927,6540.0,14650.0,8110.0,124.00611620795108,17524.0,19036.010558938025,64.23764701389509,27.313960919193864
1027,2023-07-03,138653.0,156939.0,18286.0,13.188319041059335,47280.0,20915.0,-26365.0,55.76353637901861,6540.0,14619.0,8079.0,123.53211009174312,17576.666666666668,19102.890374670184,64.16132183727369,27.396050355114742
1028,2023-07-03,138653.0,157136.0,18483.0,13.330400351957767,47280.0,20727.0,-26553.0,56.161167512690355,6540.0,14607.0,8067.0,123.34862385321101,17701.0,19250.624119752585,64.28006390595304,27.589843770295055
1029,2023-07-03,138653.0,156965.0,18312.0,13.207070889198214,47280.0,21016.0,-26264.0,55.54991539763113,6540.0,14489.0,7949.0,121.54434250764525,17508.333333333332,19046.55385277522,63.43377626482486,27.289541909774357
1030,2023-07-03,138653.0,157139.0,18486.0,13.332564026743022,47280.0,20763.0,-26517.0,56.08502538071066,6540.0,14571.0,8031.0,122.79816513761467,17678.0,19230.01513259935,64.07191818168945,27.553994586253655
1001,2023-09-06,319545.0,336335.0,16790.0,5.254346023251811,63808.0,44511.0,-19297.0,30.242289368104313,28983.0,31487.0,2504.0,8.639547320843253,12863.666666666666,14838.557039011577,14.71206090406646,9.359114896589189
1002,2023-09-06,319545.0,336243.0,16698.0,5.225555086138103,63808.0,44837.0,-18971.0,29.731381644934807,28983.0,31253.0,2270.0,7.832177483352309,12646.333333333334,14650.084698276207,14.263038071475073,9.200991424469365
1003,2023-09-06,319545.0,336359.0,16814.0,5.261856702498865,63808.0,44484.0,-19324.0,30.2846038114343,28983.0,31487.0,2504.0,8.639547320843253,12880.666666666666,14859.313443090161,14.728669278258808,9.371483450389974
1004,2023-09-06,319545.0,336189.0,16644.0,5.20865605783223,63808.0,44646.0,-19162.0,30.03071715145436,28983.0,31496.0,2513.0,8.670600006900598,12773.0,14725.489793778224,14.636657738729062,9.293149276318342
1005,2023-09-06,319545.0,335972.0,16427.0,5.140746999640113,63808.0,44933.0,-18875.0,29.58093029087262,28983.0,31429.0,2446.0,8.439430010695926,12582.666666666666,14515.450044693758,14.387035767069554,9.154669977882115
1006,2023-09-06,319545.0,336394.0,16849.0,5.27280977640082,63808.0,44603.0,-19205.0,30.098106820461386,28983.0,31337.0,2354.0,8.122002553220854,12802.666666666666,14812.856375459798,14.497639716694351,9.314733615304025
1007,2023-09-06,319545.0,336627.0,17082.0,5.345725954090973,63808.0,44435.0,-19373.0,30.361396690070208,28983.0,31270.0,2287.0,7.890832557016182,12914.0,14970.395474624798,14.532651733725787,9.39573551666602
1008,2023-09-06,319545.0,336405.0,16860.0,5.276252171055719,63808.0,44568.0,-19240.0,30.15295887662989,28983.0,31361.0,2378.0,8.204809716040437,12826.0,14833.431655104852,14.544673587908683,9.331710061697256
1009,2023-09-06,319545.0,336551.0,17006.0,5.321942136475301,63808.0,44472.0,-19336.0,30.303410230692073,28983.0,31311.0,2328.0,8.032294793499638,12890.0,14927.653488297035,14.552549053555671,9.378274028947265
1010,2023-09-06,319545.0,336193.0,16648.0,5.209907837706739,63808.0,44808.0,-19000.0,29.77683049147442,28983.0,31330.0,2347.0,8.097850464065141,12665.0,14647.68824763826,14.361529597748767,9.214572581583951
1011,2023-09-06,319545.0,336063.0,16518.0,5.169224991785194,63808.0,45069.0,-18739.0,29.367790872617856,28983.0,31203.0,2220.0,7.65966256081151,12492.333333333334,14478.98298684453,14.065559475071518,9.08894687827403
1012,2023-09-06,319545.0,335828.0,16283.0,5.095682924157787,63808.0,45034.0,-18774.0,29.42264292878636,28983.0,31469.0,2486.0,8.577441948728564,12514.333333333334,14419.655116079117,14.365255933890902,9.10495324201622
1013,2023-09-06,319545.0,336488.0,16943.0,5.302226603451783,63808.0,44770.0,-19038.0,29.836384152457374,28983.0,31076.0,2093.0,7.221474657557879,12691.333333333334,14763.59646788907,14.12002847115568,9.233731713942028
1014,2023-09-06,319545.0,336044.0,16499.0,5.163279037381276,63808.0,44887.0,-18921.0,29.653021564694082,28983.0,31399.0,2416.0,8.335921057171445,12612.0,14560.88708378259,14.384073886415601,9.176011796205037
