MAE,RMSE,MAPE_percent,WAPE_percent,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Sila_observed,Sila_simulated,Sila_difference,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Scenario,Sensitivity_type,Target,Percentage_change,Seed,Date
15441.0,16655.636993722776,60.12320221301497,24.06727177318377,138653.0,153942.0,15289.0,47280.0,24117.0,-23163.0,6540.0,14411.0,7871.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1001,2023-07-03
15028.0,16209.256923128833,58.54170874210934,23.42354512061432,138653.0,153528.0,14875.0,47280.0,24737.0,-22543.0,6540.0,14206.0,7666.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1002,2023-07-03
15153.0,16342.940422906358,59.06887188598685,23.61837764257844,138653.0,153643.0,14990.0,47280.0,24549.0,-22731.0,6540.0,14278.0,7738.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1003,2023-07-03
15224.0,16432.799964299043,58.917257833242985,23.72904251505406,138653.0,153801.0,15148.0,47280.0,24442.0,-22838.0,6540.0,14226.0,7686.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1004,2023-07-03
15091.0,16265.154461813963,59.19509468135467,23.521740711684235,138653.0,153505.0,14852.0,47280.0,24641.0,-22639.0,6540.0,14322.0,7782.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1005,2023-07-03
15192.0,16356.233307213492,60.18218460941276,23.679165389431244,138653.0,153485.0,14832.0,47280.0,24492.0,-22788.0,6540.0,14496.0,7956.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1006,2023-07-03
15342.0,16557.22798860566,59.46293565534712,23.91296441578819,138653.0,153901.0,15248.0,47280.0,24266.0,-23014.0,6540.0,14304.0,7764.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1007,2023-07-03
15300.0,16497.151046973737,59.78749639995703,23.847500688408243,138653.0,153758.0,15105.0,47280.0,24328.0,-22952.0,6540.0,14383.0,7843.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1008,2023-07-03
15298.666666666666,16506.583797584124,59.43155064485614,23.84542247484063,138653.0,153828.0,15175.0,47280.0,24329.0,-22951.0,6540.0,14310.0,7770.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1009,2023-07-03
15060.333333333334,16262.6640191575,58.06769151029653,23.47394179962904,138653.0,153684.0,15031.0,47280.0,24689.0,-22591.0,6540.0,14099.0,7559.0,foro_baranga_plus20,population,Foro_Baranga,20.0,1010,2023-07-03
17553.666666666668,19658.585478105997,51.303565499698145,27.360201171073346,138653.0,159544.0,20891.0,47280.0,20948.0,-26332.0,6540.0,11978.0,5438.0,kulbus_minus20,population,Kulbus,-20.0,1001,2023-07-03
17253.333333333332,19352.787068878046,49.86242364264783,26.892083564967557,138653.0,159303.0,20650.0,47280.0,21399.0,-25881.0,6540.0,11769.0,5229.0,kulbus_minus20,population,Kulbus,-20.0,1002,2023-07-03
17409.0,19525.36354761843,50.350517138780724,27.13471499898687,138653.0,159481.0,20828.0,47280.0,21165.0,-26115.0,6540.0,11824.0,5284.0,kulbus_minus20,population,Kulbus,-20.0,1003,2023-07-03
17466.666666666668,19593.67115507794,50.45195469742249,27.224597735786315,138653.0,159563.0,20910.0,47280.0,21078.0,-26202.0,6540.0,11828.0,5288.0,kulbus_minus20,population,Kulbus,-20.0,1004,2023-07-03
17245.0,19315.720825275974,50.351515169093645,26.879094730169946,138653.0,159186.0,20533.0,47280.0,21410.0,-25870.0,6540.0,11872.0,5332.0,kulbus_minus20,population,Kulbus,-20.0,1005,2023-07-03
17322.666666666668,19370.189054317463,51.179247892507284,27.000150670483652,138653.0,159157.0,20504.0,47280.0,21296.0,-25984.0,6540.0,12020.0,5480.0,kulbus_minus20,population,Kulbus,-20.0,1006,2023-07-03
17402.0,19536.35259373322,49.98583832810799,27.123804377756883,138653.0,159544.0,20891.0,47280.0,21176.0,-26104.0,6540.0,11751.0,5211.0,kulbus_minus20,population,Kulbus,-20.0,1007,2023-07-03
17546.0,19657.03254987046,51.15208886499557,27.348251443059546,138653.0,159561.0,20908.0,47280.0,20959.0,-26321.0,6540.0,11949.0,5409.0,kulbus_minus20,population,Kulbus,-20.0,1008,2023-07-03
17538.0,19656.46429718902,50.97608966373476,27.335782161653842,138653.0,159582.0,20929.0,47280.0,20970.0,-26310.0,6540.0,11915.0,5375.0,kulbus_minus20,population,Kulbus,-20.0,1009,2023-07-03
17339.666666666668,19454.94282523938,50.01376285930912,27.026647893470773,138653.0,159427.0,20774.0,47280.0,21270.0,-26010.0,6540.0,11775.0,5235.0,kulbus_minus20,population,Kulbus,-20.0,1010,2023-07-03
17995.666666666668,19220.20860968996,77.65975917725369,28.049128968738472,138653.0,154909.0,16256.0,47280.0,20285.0,-26995.0,6540.0,17276.0,10736.0,kulbus_plus20,population,Kulbus,20.0,1001,2023-07-03
17776.666666666668,18971.1926702918,77.49950313824708,27.707782390257336,138653.0,154550.0,15897.0,47280.0,20614.0,-26666.0,6540.0,17307.0,10767.0,kulbus_plus20,population,Kulbus,20.0,1002,2023-07-03
17818.333333333332,19023.003434438702,77.29657738800259,27.772726564245374,138653.0,154666.0,16013.0,47280.0,20551.0,-26729.0,6540.0,17253.0,10713.0,kulbus_plus20,population,Kulbus,20.0,1003,2023-07-03
17800.666666666668,19014.117684850204,76.71326621067091,27.74519023447445,138653.0,154754.0,16101.0,47280.0,20577.0,-26703.0,6540.0,17138.0,10598.0,kulbus_plus20,population,Kulbus,20.0,1004,2023-07-03
17759.666666666668,18948.581239765685,77.6849182010574,27.681285167270214,138653.0,154480.0,15827.0,47280.0,20638.0,-26642.0,6540.0,17350.0,10810.0,kulbus_plus20,population,Kulbus,20.0,1005,2023-07-03
17880.0,19068.194478415273,78.67514338431748,27.868843941747674,138653.0,154494.0,15841.0,47280.0,20460.0,-26820.0,6540.0,17519.0,10979.0,kulbus_plus20,population,Kulbus,20.0,1006,2023-07-03
17966.0,19184.656751338207,77.72429681960656,28.002888716858987,138653.0,154843.0,16190.0,47280.0,20330.0,-26950.0,6540.0,17298.0,10758.0,kulbus_plus20,population,Kulbus,20.0,1007,2023-07-03
17967.333333333332,19184.180931173476,77.838350215082,28.004966930426605,138653.0,154821.0,16168.0,47280.0,20327.0,-26953.0,6540.0,17321.0,10781.0,kulbus_plus20,population,Kulbus,20.0,1008,2023-07-03
18024.0,19241.7097126702,78.24941356294842,28.093291007050343,138653.0,154837.0,16184.0,47280.0,20241.0,-27039.0,6540.0,17389.0,10849.0,kulbus_plus20,population,Kulbus,20.0,1009,2023-07-03
17682.333333333332,18890.210454095,76.06396908131926,27.560748780348415,138653.0,154677.0,16024.0,47280.0,20756.0,-26524.0,6540.0,17039.0,10499.0,kulbus_plus20,population,Kulbus,20.0,1010,2023-07-03
17811.333333333332,19363.08802851446,64.87777061121312,27.76181594301538,138653.0,157212.0,18559.0,47280.0,20563.0,-26717.0,6540.0,14698.0,8158.0,routes_minus20,routes,all_routes,-20.0,1001,2023-07-03
17500.666666666668,19032.671926628343,63.54847414799652,27.277592181760557,138653.0,156929.0,18276.0,47280.0,21029.0,-26251.0,6540.0,14515.0,7975.0,routes_minus20,routes,all_routes,-20.0,1002,2023-07-03
17628.666666666668,19165.10434792012,64.19621377197767,27.477100684251816,138653.0,157025.0,18372.0,47280.0,20837.0,-26443.0,6540.0,14611.0,8071.0,routes_minus20,routes,all_routes,-20.0,1003,2023-07-03
17693.333333333332,19250.683381809245,64.02081655209376,27.577894042281255,138653.0,157177.0,18524.0,47280.0,20740.0,-26540.0,6540.0,14556.0,8016.0,routes_minus20,routes,all_routes,-20.0,1004,2023-07-03
17529.333333333332,19041.92082397852,64.24960225851396,27.322273773464328,138653.0,156836.0,18183.0,47280.0,20986.0,-26294.0,6540.0,14651.0,8111.0,routes_minus20,routes,all_routes,-20.0,1005,2023-07-03
17573.333333333332,19068.345077641112,65.00647023573025,27.3908548211957,138653.0,156759.0,18106.0,47280.0,20920.0,-26360.0,6540.0,14794.0,8254.0,routes_minus20,routes,all_routes,-20.0,1006,2023-07-03
17756.0,19313.13107706775,64.40107268778131,27.675570079959265,138653.0,157211.0,18558.0,47280.0,20646.0,-26634.0,6540.0,14616.0,8076.0,routes_minus20,routes,all_routes,-20.0,1007,2023-07-03
17759.333333333332,19305.159016870766,64.72632431691508,27.68076561387831,138653.0,157150.0,18497.0,47280.0,20641.0,-26639.0,6540.0,14682.0,8142.0,routes_minus20,routes,all_routes,-20.0,1008,2023-07-03
17751.333333333332,19302.26071388185,64.5401476409237,27.668296332472607,138653.0,157174.0,18521.0,47280.0,20653.0,-26627.0,6540.0,14646.0,8106.0,routes_minus20,routes,all_routes,-20.0,1009,2023-07-03
17489.333333333332,19036.87143414064,63.066184432769845,27.25992736643581,138653.0,157008.0,18355.0,47280.0,21046.0,-26234.0,6540.0,14419.0,7879.0,routes_minus20,routes,all_routes,-20.0,1010,2023-07-03
17811.0,19362.909018705497,64.87799481433473,27.76129638962348,138653.0,157210.0,18557.0,47280.0,20562.0,-26718.0,6540.0,14698.0,8158.0,routes_plus20,routes,all_routes,20.0,1001,2023-07-03
17499.333333333332,19031.39169897987,63.54751251475863,27.275513968192943,138653.0,156925.0,18272.0,47280.0,21029.0,-26251.0,6540.0,14515.0,7975.0,routes_plus20,routes,all_routes,20.0,1002,2023-07-03
17628.666666666668,19165.10434792012,64.19621377197767,27.477100684251816,138653.0,157025.0,18372.0,47280.0,20837.0,-26443.0,6540.0,14611.0,8071.0,routes_plus20,routes,all_routes,20.0,1003,2023-07-03
17691.666666666668,19249.261674152596,64.01475807889663,27.57529627532173,138653.0,157173.0,18520.0,47280.0,20740.0,-26540.0,6540.0,14555.0,8015.0,routes_plus20,routes,all_routes,20.0,1004,2023-07-03
17527.666666666668,19040.50574433358,64.24354378531683,27.319676006504807,138653.0,156832.0,18179.0,47280.0,20986.0,-26294.0,6540.0,14650.0,8110.0,routes_plus20,routes,all_routes,20.0,1005,2023-07-03
17573.0,19068.17289796447,65.00669443885185,27.390335267803795,138653.0,156757.0,18104.0,47280.0,20919.0,-26361.0,6540.0,14794.0,8254.0,routes_plus20,routes,all_routes,20.0,1006,2023-07-03
17755.0,19312.170230194224,64.4003514628529,27.674011419783557,138653.0,157208.0,18555.0,47280.0,20646.0,-26634.0,6540.0,14616.0,8076.0,routes_plus20,routes,all_routes,20.0,1007,2023-07-03
17759.333333333332,19305.159016870766,64.72632431691508,27.68076561387831,138653.0,157150.0,18497.0,47280.0,20641.0,-26639.0,6540.0,14682.0,8142.0,routes_plus20,routes,all_routes,20.0,1008,2023-07-03
17750.666666666668,19301.62105454703,64.53966682430476,27.667257225688797,138653.0,157172.0,18519.0,47280.0,20653.0,-26627.0,6540.0,14646.0,8106.0,routes_plus20,routes,all_routes,20.0,1009,2023-07-03
17488.666666666668,19036.228670616456,63.065703616150905,27.258888259652004,138653.0,157006.0,18353.0,47280.0,21046.0,-26234.0,6540.0,14419.0,7879.0,routes_plus20,routes,all_routes,20.0,1010,2023-07-03
12863.666666666666,14838.557039011577,14.71206090406646,9.359114896589189,319545.0,336335.0,16790.0,63808.0,44511.0,-19297.0,28983.0,31487.0,2504.0,baseline_v3,baseline,baseline,0.0,1001,2023-09-06
12646.333333333334,14650.084698276207,14.263038071475073,9.200991424469365,319545.0,336243.0,16698.0,63808.0,44837.0,-18971.0,28983.0,31253.0,2270.0,baseline_v3,baseline,baseline,0.0,1002,2023-09-06
12880.666666666666,14859.313443090161,14.728669278258808,9.371483450389974,319545.0,336359.0,16814.0,63808.0,44484.0,-19324.0,28983.0,31487.0,2504.0,baseline_v3,baseline,baseline,0.0,1003,2023-09-06
12773.0,14725.489793778224,14.636657738729062,9.293149276318342,319545.0,336189.0,16644.0,63808.0,44646.0,-19162.0,28983.0,31496.0,2513.0,baseline_v3,baseline,baseline,0.0,1004,2023-09-06
